# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-10-13 01:40:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.json
# init = 2 (Default)
# random
#   seed = 769305535 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.864925
# Diagonal elements of inverse mass matrix:
# 0.505499
-6.79291,0.983585,0.864925,1,3,0,6.89336,0.21385
-6.77752,0.990196,0.864925,1,3,0,6.89059,0.281149
-6.7912,0.996848,0.864925,1,1,0,6.7949,0.287876
-6.87324,0.980734,0.864925,1,1,0,6.87362,0.315734
-6.80955,0.967351,0.864925,1,3,0,7.09972,0.20795
-6.80264,0.984961,0.864925,1,3,0,6.97234,0.292747
-6.84407,0.96128,0.864925,1,3,0,7.0541,0.198054
-7.68873,0.875003,0.864925,1,3,0,7.88261,0.108954
-8.0791,0.96064,0.864925,1,1,0,8.10811,0.0897248
-7.01201,0.873805,0.864925,1,3,0,9.85018,0.347216
-7.5308,0.871352,0.864925,1,1,0,7.53758,0.42305
-9.61011,0.809369,0.864925,2,3,0,9.62252,0.590167
-8.65519,1,0.864925,1,1,0,9.69224,0.526668
-8.07072,0.996797,0.864925,2,7,0,9.01183,0.0900815
-9.29851,0.923947,0.864925,2,7,0,9.63367,0.571046
-7.62614,1,0.864925,2,7,0,9.07191,0.112644
-7.57976,1,0.864925,1,1,0,7.72688,0.115518
-6.74837,0.971253,0.864925,1,3,0,7.93418,0.253309
-9.67657,0.661565,0.864925,3,7,0,9.6779,0.0457248
-10.4015,0.968167,0.864925,1,1,0,10.4549,0.0346915
-9.9774,0.987592,0.864925,2,3,0,11.5014,0.0407178
-7.06994,0.930226,0.864925,3,7,0,9.62489,0.357958
-6.96205,1,0.864925,1,1,0,7.07306,0.337046
-7.64763,0.652005,0.864925,1,3,0,9.20677,0.111354
-7.89079,0.974303,0.864925,1,1,0,7.94624,0.0982838
-6.82879,0.970837,0.864925,1,3,0,8.02723,0.202138
-6.79526,0.978118,0.864925,2,7,0,6.99224,0.289667
-6.80924,0.998908,0.864925,2,3,0,6.81677,0.295339
-6.84865,0.958577,0.864925,1,3,0,7.07713,0.196902
-6.95918,0.947184,0.864925,1,3,0,7.33116,0.336429
-6.80969,1,0.864925,1,1,0,6.92303,0.295511
-7.94105,0.837741,0.864925,2,7,0,7.95219,0.095883
-6.74878,0.953071,0.864925,1,3,0,8.52796,0.254884
-6.78533,0.992536,0.864925,1,3,0,6.79255,0.285136
-6.77124,0.991483,0.864925,1,3,0,6.86431,0.223732
-6.74809,0.999513,0.864925,1,3,0,6.77442,0.248595
-6.79683,0.988568,0.864925,1,3,0,6.81615,0.290341
-6.76664,0.999974,0.864925,2,7,0,6.79347,0.226415
-6.76664,0.246097,0.864925,1,3,0,13.5777,0.226415
-6.77187,0.992518,0.864925,1,3,0,6.83049,0.277936
-6.88674,0.953588,0.864925,1,3,0,7.06418,0.188308
-6.91428,0.998428,0.864925,2,3,0,6.93224,0.182921
-6.82985,1,0.864925,1,1,0,6.90048,0.201841
-6.8691,0.992964,0.864925,1,1,0,6.87554,0.192092
-7.43938,0.935527,0.864925,2,3,0,7.57641,0.125053
-6.89134,0.996367,0.864925,2,3,0,7.50085,0.187367
-6.74826,0.972505,0.864925,2,3,0,7.14768,0.252727
-6.74826,0.821773,0.864925,1,3,0,7.7063,0.252727
-6.74826,0.827697,0.864925,1,3,0,7.71609,0.252727
-6.74826,0.837146,0.864925,1,3,0,7.65814,0.252727
-6.74826,0.90387,0.864925,1,3,0,7.26471,0.252727
-6.94947,0.949155,0.864925,1,3,0,7.05926,0.176758
-7.14281,0.910346,0.864925,1,3,0,7.8562,0.370281
-6.91036,1,0.864925,1,1,0,7.09077,0.325289
